îNåéì˙,ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨ÇÃïóå¸,ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm)
1978/11/22,0,0,4.3,6.5,0.4,,,ñkñkìå,1.3,,
1978/11/23,3,2,4.7,6.8,0.3,,,ìåìÏìå,2.3,,
1978/11/24,0,0,5.1,6.1,2.3,,,êºìÏêº,0.6,,
1978/11/25,0,0,2.5,8.2,-1.2,,,ìåñkìå,7.8,,
1978/11/26,0,0,2.5,8.7,-1.4,,,ñkìå,6.7,,
1978/11/27,0,0,5.1,8,1.4,,,ìåìÏìå,0,,
1978/11/28,2,1,6.2,9,3.6,,,ñkìå,0.3,,
1978/11/29,6,2,2.7,4.8,-0.8,,,ìÏêº,2.1,,
1978/11/30,6,2,2.8,6.7,-0.9,,,êº,1.6,,
1978/12/01,7,3,4.3,9.4,0.2,,,ìÏìÏêº,5.9,,
1978/12/02,24,4,6.9,11.3,3.5,,,ìÏêº,0.6,,
1978/12/03,28,4,2.6,4.8,0.8,,,êºñkêº,0,,
1978/12/04,14,6,4,9.2,-1.4,,,ìÏìÏìå,5,,
1978/12/05,13,5,-0.3,4.1,-2.9,,,êº,1.6,,
1978/12/06,2,1,-0.3,1.5,-1.8,,,ñkìå,0.4,,
1978/12/07,1,1,2,5.8,-2.4,,,ñkìå,4.1,,
1978/12/08,19,4,5.6,8.7,1.3,,,êºñkêº,0,,
1978/12/09,0,0,5.3,11.3,0.8,,,ñkêº,4.7,,
1978/12/10,23,4,6.5,11.5,2.3,,,ñkñkêº,0,,
1978/12/11,3,1,0.4,1.4,-0.1,,,ñkñkêº,0,,
1978/12/12,0,0,1.9,6.9,-2.1,,,êº,6.7,,
1978/12/13,0,0,5.1,13.8,0.3,,,ìÏêº,7.8,,
1978/12/14,0,0,3.8,10.4,-1.3,,,êºñkêº,5.8,,
1978/12/15,17,3,4.9,7.9,1.4,,,ñkìå,0,,
1978/12/16,0,0,1.7,6.8,-2.7,,,ñkìå,8.2,,
1978/12/17,8,2,3.7,6.6,-0.7,,,ñkìå,0,,
1978/12/18,4,1,-1.9,-0.9,-2.6,,,ìåñkìå,0,,
